Company, Country, Sector, Climate score, Water Score, Timber score, Palm oil score, Cattle production score, Soy score
Tumi Holdings Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Twenty-First Century Fox,USA,Consumer Discretionary,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Twitter Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Tyson Foods, Inc.",USA,Consumer Staples,C,B,*,*,B,B
U.S. Bancorp,USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
UDR Inc,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
UGI Corporation,USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
Ulta Beauty Inc.,USA,Consumer Discretionary,Not scored,F,F,F,F,F
Ultra Petroleum,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Under Armour Inc,USA,Consumer Discretionary,Not scored,F,F,F,F,F
UNFI,USA,Consumer Staples,C,Not requested,F,F,F,F
Union Pacific Corporation,USA,Industrials,A-,B,Not requested,Not requested,Not requested,Not requested
Unisys Corporation,USA,Information Technology,D,Not requested,Not requested,Not requested,Not requested,Not requested
Unit Corp.,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
United Continental Holdings,USA,Industrials,B,Not requested,Not requested,Not requested,Not requested,Not requested
UNITED RENTALS,USA,Industrials,D-,D-,Not requested,Not requested,Not requested,Not requested
United States Steel Corporation,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
United Technologies Corporation,USA,Industrials,A-,C,Not requested,Not requested,Not requested,Not requested
United Therapeutics Corp,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
UnitedHealth Group Inc,USA,Health Care,C,Not requested,Not requested,Not requested,Not requested,Not requested
Unitil Corp,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Universal Corporation,USA,Consumer Staples,Not requested,Not requested,Not scored,Not scored,Not scored,Not scored
Universal Forest Products Inc,USA,Industrials,F,Not requested,F,F,F,F
Universal Health Services,USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
Unum Group,USA,Financials,A-,F,Not requested,Not requested,Not requested,Not requested
UPS,USA,Industrials,A-,C,B-,*,*,*
"Urban Outfitters, Inc.",USA,Consumer Discretionary,F,F,F,F,F,F
US Foods,USA,Consumer Staples,F,Not requested,Not requested,Not requested,Not requested,Not requested
UTI Worldwide Inc,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Valeant Pharmaceuticals International, Inc.",USA,Health Care,D,D,Not requested,Not requested,Not requested,Not requested
Valero Energy Corporation,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Valspar Corporation,USA,Materials,F,F,Not requested,Not requested,Not requested,Not requested
