Company, Country, Sector, Climate score, Water Score, Timber score, Palm oil score, Cattle production score, Soy score
General Dynamics Corporation,USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
General Electric Company,USA,Industrials,C,B,Not requested,Not requested,Not requested,Not requested
General Mills Inc.,USA,Consumer Staples,B,B,B,B,*,*
General Motors Company,USA,Consumer Discretionary,A-,A,F,F,F,F
Genesco Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Genpact International,USA,Consumer Discretionary,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Genuine Parts Company,USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
"Genworth Financial, Inc.",USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
GGP,USA,Real Estate,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Gilead Sciences, Inc.",USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
"Global Payments, Inc.",USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
GNC Holdings Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Goldman Sachs Group Inc.,USA,Financials,A,Not requested,Not requested,Not requested,Not requested,Not requested
Goodyear Tire & Rubber Company,USA,Consumer Discretionary,C,A-,Not requested,Not requested,Not requested,Not requested
Graphic Packaging,USA,Materials,C,B,B,*,*,*
"Great Plains Energy, Inc.",USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
Greif Inc,USA,Materials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Gulfport Energy Corp,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
H&R Block Inc,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
H.B. Fuller,USA,Materials,B,Not requested,Not requested,Not requested,Not requested,Not requested
Halcon Resources Corp,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Halliburton Company,USA,Energy,C,C,Not requested,Not requested,Not requested,Not requested
Hanesbrands Inc.,USA,Consumer Discretionary,C,F,Not scored,Not scored,Not scored,Not scored
"Hannon Armstrong Sustainable Infrastructure Capital, Inc",USA,Financials,F,F,Not requested,Not requested,Not requested,Not requested
"Harley-Davidson, Inc.",USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
Harman International Industries Inc,USA,Consumer Discretionary,C,F,Not requested,Not requested,Not requested,Not requested
Harris Corporation,USA,Information Technology,Not scored,Not scored,Not requested,Not requested,Not requested,Not requested
Harvest Natural Resources,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Hasbro, Inc.",USA,Consumer Discretionary,C,D,Not requested,Not requested,Not requested,Not requested
Hawaiian Electric Industries,USA,Utilities,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Hawaiian Holding,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
HCA,USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
HCP Inc.,USA,Real Estate,A-,Not requested,Not requested,Not requested,Not requested,Not requested
HD SUPPLY,USA,Industrials,Not requested,Not requested,F,F,F,F
HE Butt Grocery Company,USA,Consumer Staples,F,Not requested,Not requested,Not requested,Not requested,Not requested
Helmerich & Payne,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Henry Schein Inc.,USA,Health Care,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Herman Miller,USA,Consumer Discretionary,C,Not requested,B,*,*,*
Hertz Global Holdings,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Hess Corporation,USA,Energy,A-,F,Not requested,Not requested,Not requested,Not requested
Hewlett Packard Enterprise Company,USA,Information Technology,A,A-,Not requested,Not requested,Not requested,Not requested
"Hilton Worldwide, Inc.",USA,Consumer Discretionary,B,A-,Not scored,Not scored,Not scored,Not scored
HNI Corporation,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
HollyFrontier Corp.,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
"Hologic, Inc.",USA,Health Care,D,F,Not requested,Not requested,Not requested,Not requested
Honeywell International Inc.,USA,Industrials,B,F,Not requested,Not requested,Not requested,Not requested
Hormel Foods,USA,Consumer Staples,C,B,F,F,F,F
"Hospira, Inc.",USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Host Hotels & Resorts, Inc.",USA,Real Estate,A-,Not requested,Not requested,Not requested,Not requested,Not requested
HP Inc,USA,Information Technology,A,A,A-,*,*,*
HRG Group Inc,USA,Consumer Staples,F,Not requested,F,F,F,F
Hub Group Inc,USA,Industrials,D,Not requested,Not requested,Not requested,Not requested,Not requested
"Hudson City Bancorp, Inc.",USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Humana Inc.,USA,Health Care,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Humanscale Corporation,USA,Industrials,C-,Not requested,Not requested,Not requested,Not requested,Not requested
Huntington Bancshares Incorporated,USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Huntington Ingalls Industries, Inc.",USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Huntsman Corporation,USA,Materials,F,Not requested,F,F,F,F
Hyatt Hotels,USA,Consumer Discretionary,B,Not requested,Not requested,Not requested,Not requested,Not requested
ICF International,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Idacorp Inc,USA,Utilities,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Idexx Laboratories, Inc.",USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
IGT PLC,USA,Consumer Discretionary,A-,Not requested,Not requested,Not requested,Not requested,Not requested
"Illinois Tool Works, Inc.",USA,Industrials,C,C,Not requested,Not requested,Not requested,Not requested
Illumina Inc,USA,Health Care,D-,Not requested,Not requested,Not requested,Not requested,Not requested
"IMS Health, Inc.",USA,Health Care,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Incyte Corp,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Ingredion Incorporated,USA,Consumer Staples,C,A-,Not requested,Not requested,Not requested,Not requested
"Integrated Device Technology, Inc.",USA,Information Technology,C-,C,Not requested,Not requested,Not requested,Not requested
"Integrys Holding, Inc.",USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Intel Corporation,USA,Information Technology,A-,A,Not requested,Not requested,Not requested,Not requested
IntercontinentalExchange Inc,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
International Business Machines (IBM),USA,Information Technology,B,B,Not requested,Not requested,Not requested,Not requested
International Flavors & Fragrances Inc.,USA,Materials,A-,A-,Not requested,Not requested,Not requested,Not requested
International Paper Company,USA,Materials,C,B-,B,*,*,*
"Interpublic Group of Companies, Inc.",USA,Consumer Discretionary,C-,Not requested,Not requested,Not requested,Not requested,Not requested
Intuit Inc.,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
Intuitive Surgical Inc.,USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
Invesco Ltd,USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Ionis Pharmaceuticals Inc,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Iron Mountain Inc.,USA,Real Estate,C,Not requested,Not requested,Not requested,Not requested,Not requested
Izzy+,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"J & J Snack Foods, Inc.",USA,Consumer Staples,Not requested,Not requested,F,F,F,F
"J.B. Hunt Transport Services, Inc.",USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Jabil Circuit, Inc.",USA,Information Technology,D,Not requested,Not requested,Not requested,Not requested,Not requested
"L3 Technologies, Inc.",USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
La-Z-Boy Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Laboratory Corporation of America Holdings,USA,Health Care,F,F,Not requested,Not requested,Not requested,Not requested
Lam Research Corp.,USA,Information Technology,C,Not scored,Not requested,Not requested,Not requested,Not requested
"Lamb Weston Holdings, Inc.",USA,Consumer Staples,Not requested,Not requested,F,F,F,F
Lancaster Colony Corporation,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
Land O'Lakes,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
Laredo Petroleum Holdings Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Las Vegas Sands Corporation,USA,Consumer Discretionary,A,F,Not requested,Not requested,Not requested,Not requested
Lear,USA,Consumer Discretionary,C,Not scored,Not scored,Not scored,Not scored,Not scored
"Legg Mason, Inc.",USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Leggett & Platt, Inc.",USA,Consumer Discretionary,D-,F,F,F,F,F
Lennar Corporation,USA,Consumer Discretionary,F,F,F,F,F,F
Lennox International Inc,USA,Industrials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Leucadia National Corp.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Level 3 Communications, Inc.",USA,Telecommunication Services,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Levi Strauss & Co.,USA,Consumer Discretionary,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Lexmark International, Inc.",USA,Information Technology,C,B,Not requested,Not requested,Not requested,Not requested
Liberty Broadband Corp,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Liberty Interactive Corp,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Liberty Media Group,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Liberty Property Trust,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Liberty Siriusxm,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Lincoln National Corporation,USA,Financials,B,Not requested,Not requested,Not requested,Not requested,Not requested
Linear Technology Corp.,USA,Information Technology,D,C,Not requested,Not requested,Not requested,Not requested
LinkedIn Corp.,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Linn Energy,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
LKQ Corp,USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
Lockheed Martin Corporation,USA,Industrials,A,A-,Not requested,Not requested,Not requested,Not requested
Loews Corporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Lorillard Inc.,USA,Consumer Staples,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Louisiana-Pacific Corp,USA,Materials,F,Not requested,F,F,F,F
Love's travel,USA,Consumer Staples,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Lowe's Companies, Inc.",USA,Consumer Discretionary,B,F,Not scored,Not scored,Not scored,Not scored
LyondellBasell Industries Cl A,USA,Materials,C,F,Not requested,Not requested,Not requested,Not requested
M&M Cartage,USA,Industrials,Not requested,F,Not requested,Not requested,Not requested,Not requested
M&T Bank Corporation,USA,Financials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Macerich Co.,USA,Real Estate,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Macmillan USA,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Macquarie Infrastructure Corporation,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Macy's, Inc.",USA,Consumer Discretionary,D,F,F,F,F,F
Mallinckrodt plc,USA,Health Care,C-,F,Not requested,Not requested,Not requested,Not requested
ManpowerGroup,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Marathon Oil Corporation,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Marathon Petroleum,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Markel Corporation,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Marriott International, Inc.",USA,Consumer Discretionary,B,B,C,*,*,*
Mars,USA,Consumer Staples,A-,A-,C,B,C,C
"Marsh & McLennan Companies, Inc.",USA,Financials,B,Not requested,Not requested,Not requested,Not requested,Not requested
"Martin Marietta Materials, Inc.",USA,Materials,F,F,Not requested,Not requested,Not requested,Not requested
"Marvell Technology Group, Ltd.",USA,Information Technology,Not scored,Not scored,Not requested,Not requested,Not requested,Not requested
Masco Corporation,USA,Industrials,C-,D,C,*,*,*
Masood Textile Mills,USA,Consumer Discretionary,Not requested,F,F,F,F,F
MasterCard Incorporated,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
Matson Inc,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Mattel, Inc.",USA,Consumer Discretionary,D,F,F,F,F,F
"Maxim Integrated Products, Inc.",USA,Information Technology,Not scored,C,Not requested,Not requested,Not requested,Not requested
"McCormick & Company, Incorporated",USA,Consumer Staples,C,B,*,*,*,B-
McDonald's Corporation,USA,Consumer Discretionary,C,B-,B,B,B,B
McKesson Corporation,USA,Health Care,C,Not requested,Not requested,Not requested,Not requested,Not requested
MDC Holdings Inc.,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
MDU Resources Group Inc,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Mead Johnson Nutrition Company,USA,Consumer Staples,B,B,*,C,*,*
Medivation Inc,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
MEDNAX Inc,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Meijer,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Memorial Resource Development Corp,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Menasha Packaging Company LLC,USA,Materials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
MercadoLibre,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Merck & Co., Inc.",USA,Health Care,A-,B,Not requested,Not requested,Not requested,Not requested
Meredith Corporation,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Meritage Homes Corp,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
"MetLife, Inc.",USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
MGE Energy Inc.,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
MGM Resorts International,USA,Consumer Discretionary,C,Not requested,Not requested,Not requested,Not requested,Not requested
Microchip Technology,USA,Information Technology,C,F,Not requested,Not requested,Not requested,Not requested
"Micron Technology, Inc.",USA,Information Technology,C,C,Not requested,Not requested,Not requested,Not requested
Microsoft Corporation,USA,Information Technology,A,A-,Not requested,Not requested,Not requested,Not requested
Mid-America Apartment Communities Inc,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Middleby Corp,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Minntronix,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
ModusLink Corporation,USA,Information Technology,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Mohawk Industries, Inc.",USA,Consumer Discretionary,D,F,Not scored,Not scored,Not scored,Not scored
Molex Incorporated,USA,Information Technology,Not scored,Not scored,Not requested,Not requested,Not requested,Not requested
Molson Coors Brewing Company,USA,Consumer Staples,A-,F,Not requested,Not requested,Not requested,Not requested
Mondelez International Inc,USA,Consumer Staples,C,B,F,F,F,F
Monsanto Company,USA,Materials,B,D,Not requested,Not requested,Not requested,Not requested
Monster Beverage Corporation,USA,Consumer Staples,F,F,Not requested,Not requested,Not requested,Not requested
Moody's Corporation,USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Morgan Stanley,USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Motorola Solutions,USA,Information Technology,C,B,Not requested,Not requested,Not requested,Not requested
MSCI,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Multi-Color NACPG,USA,Industrials,Not requested,Not requested,F,F,F,F
Murphy Oil Corporation,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Mylan Inc.,USA,Health Care,Not scored,F,Not requested,Not requested,Not requested,Not requested
"NASDAQ OMX Group, Inc.",USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
National Fuel Gas Co.,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
National Office Furniture,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"National Oilwell Varco, Inc.",USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
National Retail Properties,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Navient Corp,USA,Financials,D,Not requested,Not requested,Not requested,Not requested,Not requested
Navistar International Corporation,USA,Industrials,D,Not requested,Not requested,Not requested,Not requested,Not requested
NCR Corporation,USA,Consumer Discretionary,D,Not requested,Not requested,Not requested,Not requested,Not requested
NEENAH PAPER INC,USA,Materials,Not requested,Not requested,F,F,F,F
NetApp Inc.,USA,Information Technology,B,B,Not requested,Not requested,Not requested,Not requested
"Netflix, Inc.",USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
NetSuite Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
New Balance Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
New York Community Bancorp Inc.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
New York Times Company,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Newell Rubbermaid Inc.,USA,Consumer Discretionary,Not scored,Not scored,Not requested,Not requested,Not requested,Not requested
Newfield Exploration Co,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
NewMarket Corporation,USA,Materials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Newmont Mining Corporation,USA,Materials,B,A-,Not requested,Not requested,Not requested,Not requested
News Corp,USA,Consumer Discretionary,A-,Not requested,A-,*,*,*
Nexteer Automotive Group,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
"NextEra Energy, Inc.",USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
Nielsen Holdings,USA,Industrials,B,Not requested,Not requested,Not requested,Not requested,Not requested
NIKE Inc.,USA,Consumer Discretionary,B,C,C,*,C,*
NiSource Inc.,USA,Utilities,C,B,Not requested,Not requested,Not requested,Not requested
Noble Corporation,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Noble Energy, Inc.",USA,Energy,C,F,Not requested,Not requested,Not requested,Not requested
Nordson Corporation,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"Nordstrom, Inc.",USA,Consumer Discretionary,B,F,Not scored,Not scored,Not scored,Not scored
Norfolk Southern Corp.,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Northern Trust,USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Northrop Grumman Corp,USA,Industrials,A-,F,Not requested,Not requested,Not requested,Not requested
Northwestern Corporation,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Norwegian Cruise Line Holdings Ltd,USA,Consumer Discretionary,F,F,F,F,F,F
NRG Energy Inc,USA,Utilities,B,A,F,F,F,F
Nu Skin Enterprises Inc,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
NUANCE COMMUNICATIONS,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Nucor Corporation,USA,Materials,F,F,Not requested,Not requested,Not requested,Not requested
NVIDIA Corporation,USA,Information Technology,B,B,Not requested,Not requested,Not requested,Not requested
NVR Inc.,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
O'Reilly Automotive,USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
Oasis Petroleum Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Occidental Petroleum Corporation,USA,Energy,C,C,Not requested,Not requested,Not requested,Not requested
"Oceaneering International, Inc.",USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Office Depot, Inc.",USA,Consumer Discretionary,C,Not requested,C,*,*,*
OFS Brands,USA,Industrials,C,Not requested,Not requested,Not requested,Not requested,Not requested
OGE Energy Corp.,USA,Utilities,C-,F,Not requested,Not requested,Not requested,Not requested
Olin,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Olympic Steel Inc,USA,Materials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Omnicare Inc.,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Omnicom Group Inc.,USA,Consumer Discretionary,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
ON Semiconductor,USA,Information Technology,D,Not requested,Not requested,Not requested,Not requested,Not requested
Oneok Inc.,USA,Energy,D,F,Not requested,Not requested,Not requested,Not requested
Oracle Corporation,USA,Information Technology,A,Not requested,Not requested,Not requested,Not requested,Not requested
Orbis Corp,USA,Industrials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
Ormat Technologies Inc,USA,Utilities,D,Not requested,Not requested,Not requested,Not requested,Not requested
Owens Corning,USA,Industrials,A,A,Not requested,Not requested,Not requested,Not requested
Owens-Illinois,USA,Materials,C,C,Not requested,Not requested,Not requested,Not requested
Oxford Industries Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
PACCAR Inc,USA,Industrials,A-,F,Not requested,Not requested,Not requested,Not requested
Packaging Corporation Of America,USA,Materials,F,F,F,F,F,F
Pall Corporation,USA,Industrials,Not scored,Not scored,Not requested,Not requested,Not requested,Not requested
Palo Alto Networks,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Panera Bread Co.,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Papa John's International Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
PAREXEL,USA,Health Care,C,Not requested,Not requested,Not requested,Not requested,Not requested
Parker-Hannifin Corporation,USA,Industrials,B-,C,Not requested,Not requested,Not requested,Not requested
Parker-Migliorini International LLC,USA,Industrials,Not requested,Not requested,F,F,F,F
Parkway Properties,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Parsley Energy Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Partnerre Ltd.,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Pattern Energy Group Inc,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Patterson Companies, Inc.",USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
"Paychex, Inc.",USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
PayPal Holdings Inc,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
PBF Energy Inc,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
PDC Energy,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Peabody Energy Corporation,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
"People's United Financial, Inc",USA,Financials,Not scored,Not requested,Not requested,Not requested,Not requested,Not requested
"Pepco Holdings, Inc.",USA,Utilities,Not scored,Not scored,Not requested,Not requested,Not requested,Not requested
"PepsiCo, Inc.",USA,Consumer Staples,A-,A-,A-,A-,*,*
Pericom Semiconductor Corp.,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
"PerkinElmer, Inc.",USA,Health Care,D,C,Not requested,Not requested,Not requested,Not requested
"Petsmart, Inc.",USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Pfizer Inc.,USA,Health Care,B,B,Not requested,Not requested,Not requested,Not requested
PG&E Corporation,USA,Utilities,A-,B,Not requested,Not requested,Not requested,Not requested
Pharmacyclics Inc,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
Philip Morris International,USA,Consumer Staples,A,A,F,F,F,F
Phillips 66,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Pilgrims Pride,USA,Consumer Staples,Not requested,Not scored,Not requested,Not requested,Not requested,Not requested
Pilot Flying J,USA,Consumer Discretionary,F,Not requested,Not requested,Not requested,Not requested,Not requested
Pinnacle Foods Group,USA,Consumer Staples,B,B,F,F,F,F
Pinnacle West Capital Corporation,USA,Utilities,A-,A-,Not requested,Not requested,Not requested,Not requested
Pioneer Natural Resources,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
Pitney Bowes Inc.,USA,Industrials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Plains All American Pipeline,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Plains GP Holdings,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Plum Creek Timber Co. Inc.,USA,Financials,Not scored,Not requested,Not scored,Not scored,Not scored,Not scored
"PNC Financial Services Group, Inc.",USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
"PNM Resources, Inc.",USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Polaris Industries Inc.,USA,Consumer Discretionary,F,F,Not requested,Not requested,Not requested,Not requested
Polo Ralph Lauren Corporation,USA,Consumer Discretionary,F,F,F,F,F,F
PolyOne,USA,Materials,D,Not requested,Not requested,Not requested,Not requested,Not requested
Popeyes Louisiana Kitchen Inc,USA,Consumer Discretionary,Not requested,Not requested,F,F,F,F
Portland General Electric,USA,Utilities,F,Not requested,Not requested,Not requested,Not requested,Not requested
Post Holdings Inc,USA,Consumer Staples,F,Not requested,F,F,F,F
Potlatch Corp,USA,Financials,Not requested,Not requested,F,F,F,F
"PPG Industries, Inc.",USA,Materials,D,D,Not requested,Not requested,Not requested,Not requested
PPL Corporation,USA,Utilities,F,F,Not requested,Not requested,Not requested,Not requested
"Praxair, Inc.",USA,Materials,A-,B,Not requested,Not requested,Not requested,Not requested
Precision Castparts Corp.,USA,Industrials,F,Not requested,Not requested,Not requested,Not requested,Not requested
PriceSmart Inc,USA,Consumer Staples,Not requested,Not requested,F,F,F,F
"Principal Financial Group, Inc.",USA,Financials,A-,Not requested,Not requested,Not requested,Not requested,Not requested
Procter & Gamble Company,USA,Consumer Staples,C,F,F,F,F,F
Progressive Corporation,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Prologis,USA,Real Estate,C,Not requested,Not requested,Not requested,Not requested,Not requested
"Prudential Financial, Inc.",USA,Financials,C,Not requested,Not requested,Not requested,Not requested,Not requested
Public Service Enterprise Group Inc.,USA,Utilities,D,F,Not requested,Not requested,Not requested,Not requested
Public Storage,USA,Financials,F,Not requested,Not requested,Not requested,Not requested,Not requested
Publix Supermarkets,USA,Consumer Staples,F,Not requested,Not requested,Not requested,Not requested,Not requested
Pulte Homes Inc,USA,Consumer Discretionary,F,F,F,F,F,F
Puma Biotechnology Inc,USA,Health Care,F,Not requested,Not requested,Not requested,Not requested,Not requested
PVH Corp,USA,Consumer Discretionary,C,B,Not scored,Not scored,Not scored,Not scored
QEP Resources,USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
QLogic Corp.,USA,Information Technology,F,Not requested,Not requested,Not requested,Not requested,Not requested
Qorvo,USA,Information Technology,C-,F,Not requested,Not requested,Not requested,Not requested
QUALCOMM Inc.,USA,Information Technology,B,A-,Not requested,Not requested,Not requested,Not requested
Quanta Services Inc,USA,Industrials,F,F,Not requested,Not requested,Not requested,Not requested
Quest Diagnostics Incorporated,USA,Health Care,B-,F,Not requested,Not requested,Not requested,Not requested
"Quicksilver Resources, Inc.",USA,Energy,F,Not requested,Not requested,Not requested,Not requested,Not requested
Quintiles Transnational Holdings Inc,USA,Health Care,C,Not requested,Not requested,Not requested,Not requested,Not requested
Rackspace Hosting Inc,USA,Information Technology,B,Not requested,Not requested,Not requested,Not requested,Not requested
Range Resources Corp.,USA,Energy,F,F,Not requested,Not requested,Not requested,Not requested
