Add,CITRIX SYSTEMS INC,CTXS,Information Technology,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,CLOROX CO /DE/,CLX,Chemicals,30-Jun-17,Climate Risk,S&P 500,View Report
Add,CME GROUP INC.,CME,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,COACH INC,COH,Apparel & Textiles,1-Jul-17,Climate Risk,S&P 500,View Report
Add,COCA COLA CO,KO,Food & Beverages,31-Dec-16,Climate Risk,S&P 500,View Report
Add,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Information Technology,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,COLGATE PALMOLIVE CO,CL,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"COLUMBIA PIPELINE GROUP, INC.",CPGX,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,COMCAST CORP,CMCSA,Media,31-Dec-16,Climate Risk,S&P 500,View Report
Add,COMERICA INC /NEW/,CMA,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,View Report
Add,COMPUTER SCIENCES CORP,CSC,Information Technology,31-Mar-17,Climate Risk,S&P 500,No disclosure
Add,CONAGRA BRANDS INC.,CAG,Food & Beverages,28-May-17,Climate Risk,S&P 500,View Report
Add,CONCHO RESOURCES INC,CXO,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CONOCOPHILLIPS,COP,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CONSOL ENERGY INC,CNX,Coal Mining,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CONSOLIDATED EDISON INC,ED,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"CONSTELLATION BRANDS, INC.",STZ,Food & Beverages,28-Feb-17,Climate Risk,S&P 500,View Report
Add,CORNING INC /NY,GLW,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,COSTCO WHOLESALE CORP /NEW,COST,Retail,3-Sep-17,Climate Risk,S&P 500,View Report
Add,COTY INC.,COTY,Consumer Goods,30-Jun-17,Climate Risk,S&P 500,View Report
Add,CROWN CASTLE INTERNATIONAL CORP,CCI,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,CSRA INC.,CSRA,Information Technology,31-Mar-17,Climate Risk,S&P 500,No disclosure
Add,CSX CORP,CSX,Transportation,30-Dec-16,Climate Risk,S&P 500,View Report
Add,CUMMINS INC,CMI,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,CVS HEALTH CORP,CVS,Retail,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DANAHER CORP /DE/,DHR,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,DARDEN RESTAURANTS INC,DRI,Food & Beverages,28-May-17,Climate Risk,S&P 500,View Report
Add,DAVITA INC.,DVA,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,DELPHI AUTOMOTIVE PLC,DLPH,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DELTA AIR LINES INC /DE/,DAL,Transportation,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DENBURY RESOURCES INC,DNR,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DENTSPLY SIRONA INC.,XRAY,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,DEVON ENERGY CORP/DE,DVN,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"DIAMOND OFFSHORE DRILLING, INC.",DO,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"DIGITAL REALTY TRUST, INC.",DLR,Real Estate Finance/Property Development/Construction,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DISCOVER FINANCIAL SERVICES,DFS,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,"DISCOVERY COMMUNICATIONS, INC.",DISCA,Media,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DISH NETWORK CORP,DISH,Media,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,DOLLAR GENERAL CORP,DG,Retail,3-Feb-17,Climate Risk,S&P 500,View Report
Add,DOLLAR TREE INC,DLTR,Retail,28-Jan-17,Climate Risk,S&P 500,View Report
Add,DOMINION RESOURCES INC /VA/,D,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DOVER CORP,DOV,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DOW CHEMICAL CO /DE/,DOW,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,"DR PEPPER SNAPPLE GROUP, INC.",DPS,Food & Beverages,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DTE ENERGY CO,DTE,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,DUN & BRADSTREET CORP/NW,DNB,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,DUPONT E I DE NEMOURS & CO,DD,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,E TRADE FINANCIAL CORP,ETFC,Banks & Financial Services,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,EASTMAN CHEMICAL CO,EMN,Chemicals,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EATON CORP PLC,ETN,Manufacturing & Industrial Materials,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EBAY INC,EBAY,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,ECOLAB INC.,ECL,Consumer Goods,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EDISON INTERNATIONAL,EIX,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EDWARDS LIFESCIENCES CORP,EW,Medical Equipment Manufacturing,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,ELECTRONIC ARTS INC.,EA,Information Technology,31-Mar-17,Climate Risk,S&P 500,No disclosure
Add,ENDO INTERNATIONAL PLC,ENDP,Pharmaceuticals/Health Care,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,ENSCO PLC,ESV,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,ENTERGY CORP /DE/,ETR,Electric Power & Gas Utilities,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EOG RESOURCES INC,EOG,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EQT CORP,EQT,Oil & Gas,31-Dec-16,Climate Risk,S&P 500,View Report
Add,EQUIFAX INC,EFX,Services - Business-Related,31-Dec-16,Climate Risk,S&P 500,No disclosure
Add,EQUINIX INC,EQIX,Information Technology,31-Dec-16,Climate Risk,S&P 500,View Report
