Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City
ARCH COAL INC,,7,0,0%,Basic Materials,Missouri,ST. LOUIS 
ARCHER DANIELS MIDLAND CO,,11,2,18%,Consumer Defensive,Illinois,CHICAGO 
Archrock Inc.,,8,2,25%,Energy,Texas,HOUSTON 
Arconic Inc.,,13,3,23%,,,NEW YORK 
ARDELYX INC.,,7,1,14%,,,FREMONT 
ARDMORE SHIPPING CORP,,8,0,0%,,,HAMILTON 
ARENA PHARMACEUTICALS INC,,9,2,22%,Healthcare,California,SAN DIEGO 
Ares Capital Corporation,,10,1,10%,Financial Services,New York,New York 
Ares Commercial Real Estate Corp,,7,1,14%,,,NEW YORK 
ARGAN INC,,9,1,11%,Industrials,Maryland,ROCKVILLE 
Argo Group International Holdings Ltd.,,11,2,18%,,,PEMBROKE 
Arista Networks Inc.,,7,2,29%,,,SANTA CLARA 
Arlington Asset Investment Corp.,,8,0,0%,Financial Services,Virginia,ARLINGTON 
Armada Hoffler Properties Inc.,,8,1,13%,,,VIRGINIA BEACH 
AT&T INC.,,13,4,31%,Communication Services,Texas,DALLAS 
AUTOMATIC DATA PROCESSING INC,,10,2,20%,Industrials,New Jersey,ROSELAND 
BAKER HUGHES INC,,12,2,17%,Energy,Texas,HOUSTON
BANK OF AMERICA CORP /DE/,,14,4,29%,Financial Services,North Carolina,CHARLOTTE
BAXTER INTERNATIONAL INC,,12,1,8%,Healthcare,Illinois,DEERFIELD
BB&T CORP,,16,4,25%,Financial Services,North Carolina,WINSTON-SALEM
Berkshire Hathaway Inc.,,12,3,25%,Financial Services,Nebraska,OMAHA
BIOGEN INC.,,11,3,27%,Healthcare,Massachusetts,CAMBRIDGE
BLACKROCK INC,,18,4,22%,Financial Services,New York,NEW YORK
BNY Mellon,,13,3,23%,Financial Services,New York,NEW YORK
BOEING CO,,13,2,15%,Industrials,Illinois,CHICAGO
BRISTOL MYERS SQUIBB CO,,11,2,18%,Healthcare,New York,NEW YORK
CAPITAL ONE FINANCIAL CORP,,10,2,20%,Financial Services,Virginia,MCLEAN
CATERPILLAR INC.,,14,3,21%,Industrials,Illinois,PEORIA
CBS CORP,,13,3,23%,Consumer Cyclical,New York,NEW YORK
CELGENE CORP /DE/,,11,3,27%,Healthcare,New Jersey,SUMMIT
CENTURYLINK INC,,9,4,44%,Communication Services,Louisiana,MONROE
SCHWAB CHARLES CORP,,15,2,13%,Financial Services,California,SAN FRANCISCO
CHEVRON CORP,,12,4,33%,Energy,California,SAN RAMON
CISCO SYSTEMS INC.,,11,4,36%,Technology,California,SAN JOSE
CITIGROUP INC,,15,4,27%,Financial Services,New York,NEW YORK
COGNIZANT TECHNOLOGY SOLUTIONS CORP,,11,2,18%,Technology,New Jersey,TEANECK
COLGATE PALMOLIVE CO,,10,3,30%,Consumer Defensive,New York,NEW YORK
COMCAST CORP,,10,1,10%,Communication Services,Pennsylvania,PHILADELPHIA
Kraft Heinz Co,,11,2,18%,Consumer Defensive,Pennsylvania,PITTSBURGH
MASTERCARD INC,,12,3,25%,Financial Services,New York,PURCHASE
COSTCO WHOLESALE CORP /NEW,,12,2,17%,Consumer Defensive,Washington,ISSAQUAH
Procter & Gamble Company,,11,4,36%,Consumer Defensive,Ohio,CINCINNATI
Chubb Ltd,,16,3,19%,Financial Services,,ZURICH
STRYKER CORP,,8,2,25%,Healthcare,Michigan,KALAMAZOO
CORNING INC /NY,,13,3,23%,Technology,New York,CORNING
QUALCOMM INC/DE,,11,2,18%,Technology,California,SAN DIEGO
COMERICA INC /NEW/,,11,2,18%,Financial Services,Texas,DALLAS
COMFORT SYSTEMS USA INC,,9,1,11%,,,HOUSTON
COMMERCE BANCSHARES INC /MO/,,12,1,8%,Financial Services,Missouri,KANSAS CITY
COMMERCEHUB INC.,,9,1,11%,,,ALBANY
COMMERCIAL METALS CO,,11,2,18%,Basic Materials,Texas,IRVING
Commercial Vehicle Group Inc.,,7,0,0%,,,NEW ALBANY
Commonwealth Financial Network,,11,3,27%,Financial Services,Massachusetts,Waltham
CommScope Holding Company Inc.,,9,1,11%,Technology,North Carolina,HICKORY
COMMUNITY BANK SYSTEM INC.,,12,1,8%,Financial Services,New York,DEWITT
Community Bankers Trust Corp,,10,1,10%,Financial Services,Virginia,RICHMOND
COMMUNITY FINANCIAL CORP /MD/,,10,2,20%,,,WALDORF
COMMUNITY HEALTH SYSTEMS INC,,8,1,13%,Healthcare,Tennessee,FRANKLIN
Community Healthcare Trust Inc,,5,0,0%,,,FRANKLIN
COMMUNITY TRUST BANCORP INC /KY/,,7,1,14%,,,PIKEVILLE
COMMVAULT SYSTEMS INC,,10,0,0%,,,TINTON FALLS
COMPASS MINERALS INTERNATIONAL INC,,9,2,22%,Basic Materials,Kansas,OVERLAND PARK
COMPUTER PROGRAMS & SYSTEMS INC,,7,0,0%,,,MOBILE
Computer Sciences Corporation,,9,0,0%,Technology,Virginia,Falls Church
COMPX INTERNATIONAL INC,,8,4,50%,,,DALLAS
comScore Inc.,,12,2,17%,Industrials,Virginia,Reston
Comstock Holdings Companies Inc.,,8,0,0%,Real Estate,Virginia,Reston
COMTECH TELECOMMUNICATIONS CORP /DE/,,6,0,0%,,,MELVILLE
CONAGRA FOODS INC /DE/,,11,2,18%,Consumer Defensive,Nebraska,CHICAGO
Conatus Pharmaceuticals Inc,,7,0,0%,,,SAN DIEGO
CONCERT PHARMACEUTICALS INC.,,9,2,22%,,,LEXINGTON
CONCHO RESOURCES INC,,9,1,11%,Energy,Texas,MIDLAND
Concurrent Technologies Corporation,,10,2,20%,Technology,Pennsylvania,Johnstown
Conduent Business Services LLP,,9,2,22%,Industrials,New Jersey,Basking Ridge
ConforMIS Inc,,7,0,0%,,,BEDFORD
CONMED CORP,,10,2,20%,,,UTICA
CONNECTICUT WATER SERVICE INC / CT,,8,5,63%,,,CLINTON
ConnectOne Bancorp Inc.,,11,0,0%,,,ENGLEWOOD CLIFFS
CONNS INC,,8,1,13%,,,THE WOODLANDS
CONOCOPHILLIPS,,10,2,20%,Energy,Texas,HOUSTON
CONSOL Energy Inc,,11,1,9%,Energy,Pennsylvania,CANONSBURG
Consolidated Communications Holdings Inc.,,8,1,13%,,,MATTOON
CONSOLIDATED EDISON INC,,10,2,20%,Utilities,New York,NEW YORK
CONSOLIDATED TOMOKA LAND CO,,7,1,14%,,,DAYTONA BEACH
CONSOLIDATED WATER CO LTD,,8,0,0%,,,GRAND CAYMAN
CONSTELLATION BRANDS INC.,,11,1,9%,Consumer Defensive,New York,VICTOR
Container Store Group Inc.,,11,3,27%,Consumer Cyclical,Texas,COPPELL
CONTANGO OIL & GAS CO,,6,0,0%,,,HOUSTON
Continental Building Products Inc.,,7,1,14%,,,HERNDON
CONTINENTAL RESOURCES INC,,6,0,0%,Energy,Oklahoma,OKLAHOMA CITY
Control4 Corporation,,7,0,0%,,,SALT LAKE CITY
CONVERGYS CORP,,9,3,33%,Industrials,Ohio,CINCINNATI
COOPER COMPANIES INC,,9,2,22%,Healthcare,California,PLEASANTON
COOPER TIRE & RUBBER CO,,8,1,13%,Consumer Cyclical,Ohio,FINDLAY
Cooper-Standard Holdings Inc.,,9,2,22%,Consumer Cyclical,Michigan,NOVI
COPA HOLDINGS S.A.,,11,0,0%,,,PANAMA CITY
COPART INC,,8,0,0%,Consumer Cyclical,Texas,DALLAS
CORBUS PHARMACEUTICALS HOLDINGS INC.,,5,1,20%,,,NORWOOD
CORCEPT THERAPEUTICS INC,,7,1,14%,,,MENLO PARK
Core Laboratories N.V.,,9,3,33%,Energy,,Amsterdam
CORE MOLDING TECHNOLOGIES INC,,7,0,0%,,,COLUMBUS
Core-Mark Holding Company Inc.,,9,1,11%,Consumer Defensive,California,SOUTH SAN FRANCISCO
CoreCivic Inc.,,9,3,33%,Real Estate,Tennessee,NASHVILLE
CORELOGIC INC.,,9,2,22%,Industrials,California,IRVINE
CorEnergy Infrastructure Trust Inc.,,7,1,14%,,,KANSAS CITY
CoreSite Realty Corp,,7,1,14%,,,DENVER
Corindus Vascular Robotics Inc.,,6,0,0%,,,WALTHAM
Corium International Inc.,,9,1,11%,,,MENLO PARK
Cornerstone OnDemand Inc,,8,1,13%,Technology,California,SANTA MONICA
CORNING INC /NY,,13,3,23%,Technology,New York,CORNING
Corporate Executive Board Company,,9,2,22%,Industrials,Virginia,Arlington
CORPORATE OFFICE PROPERTIES TRUST,,9,1,11%,Real Estate,Maryland,COLUMBIA
CORVEL CORP,,6,1,17%,Financial Services,California,IRVINE
Corvus Pharmaceuticals Inc.,,7,0,0%,,,BURLINGAME
COSTAMARE INC.,,5,1,20%,,,MONACO
COSTAR GROUP INC,,8,1,13%,Real Estate,District of Columbia,WASHINGTON
COSTCO WHOLESALE CORP /NEW,,12,2,17%,Consumer Defensive,Washington,ISSAQUAH
Cotiviti Holdings Inc.,,9,2,22%,,,ATLANTA
Cott Corporation,,11,1,9%,Consumer Defensive,Ontario,Mississauga
COTY INC.,,8,0,0%,Consumer Defensive,New York,NEW YORK
County Bancorp Inc.,,12,1,8%,,,MANITOWOC
Coupa Software Inc,,8,1,13%,,,SAN MATEO
COUSINS PROPERTIES INC,,8,3,38%,,,ATLANTA
COVANTA HOLDING CORP,,11,3,27%,Industrials,New Jersey,MORRISTOWN
COVENANT TRANSPORTATION GROUP INC,,6,0,0%,,,CHATTANOOGA
COWEN INC.,,8,1,13%,,,NEW YORK
CPI Card Group Inc.,,9,1,11%,,,LITTLETON
CRA INTERNATIONAL INC.,,8,1,13%,Industrials,Massachusetts,BOSTON
CRACKER BARREL OLD COUNTRY STORE INC,,9,2,22%,Consumer Cyclical,Tennessee,LEBANON
CRAFT BREW ALLIANCE INC.,,8,1,13%,,,PORTLAND
CRANE CO /DE/,,11,2,18%,Industrials,Connecticut,STAMFORD
CRAWFORD & CO,,9,1,11%,,,ATLANTA
CRAY INC,,8,1,13%,,,SEATTLE
CREDIT ACCEPTANCE CORP,,4,1,25%,Financial Services,Michigan,SOUTHFIELD
Credit Suisse Group,,12,3,25%,Financial Services,,Zurich
CREE INC,,8,1,13%,Technology,North Carolina,DURHAM
Crestwood Equity Partners L.P.,,7,0,0%,Energy,Texas,Houston
Crocs Inc.,,8,1,13%,,,NIWOT
CROSS COUNTRY HEALTHCARE INC,,7,1,14%,Industrials,Florida,BOCA RATON
CROWN CASTLE INTERNATIONAL CORP,,11,1,9%,Communication Services,Texas,HOUSTON
CROWN HOLDINGS INC,,12,2,17%,Consumer Cyclical,Pennsylvania,PHILADELPHIA
Crown Media Holdings Inc.,,14,1,7%,Communication Services,California,Studio City
CRYOLIFE INC,,8,0,0%,,,KENNESAW
CSG SYSTEMS INTERNATIONAL INC,,10,1,10%,,,ENGLEWOOD
CSRA Inc.,,11,3,27%,,,FALLS CHURCH
CSS INDUSTRIES INC,,7,1,14%,,,PLYMOUTH MEETING
CST Brands Inc.,,11,3,27%,Consumer Cyclical,Texas,SAN ANTONIO
CSW INDUSTRIALS INC.,,7,1,14%,,,DALLAS
CSX CORP,,13,3,23%,Industrials,Florida,JACKSONVILLE
CTS CORP,,7,2,29%,,,LISLE
CU Bancorp,,12,0,0%,,,LOS ANGELES
CubeSmart,,8,2,25%,,,MALVERN
CUBIC CORP /DE/,,8,2,25%,Industrials,California,SAN DIEGO
CULLEN/FROST BANKERS INC.,,15,2,13%,Financial Services,Texas,SAN ANTONIO
CULP INC,,6,0,0%,,,HIGH POINT
CUMMINS INC,,10,2,20%,Industrials,Indiana,COLUMBUS
CUNA Mutual Group,,11,3,27%,Financial Services,Wisconsin,Madison
