Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City
Graham Holdings Co,,9,2,22%,Consumer Defensive,Virginia,ARLINGTON
GRAINGER W W INC,,10,1,10%,Industrials,Illinois,LAKE FOREST
Gramercy Property Trust,,9,1,11%,,,NEW YORK
Grand Canyon Education Inc.,,5,1,20%,,,PHOENIX
GRANITE CONSTRUCTION INC,,10,2,20%,Industrials,California,WATSONVILLE
GRAPHIC PACKAGING HOLDING CO,,9,1,11%,Consumer Cyclical,Georgia,ATLANTA
GRAY TELEVISION INC,,9,2,22%,,,ATLANTA
Graybar Electric Company Inc.,,9,2,22%,Energy,Missouri,St. Louis
Great Ajax Corp.,,7,0,0%,,,BEAVERTON
Great Lakes Dredge & Dock CORP,,8,0,0%,,,OAK BROOK
GREAT PLAINS ENERGY INC,,9,2,22%,Utilities,Missouri,KANSAS CITY
GREAT SOUTHERN BANCORP INC,,9,2,22%,,,SPRINGFIELD
Great Western Bancorp Inc.,,8,1,13%,,,SIOUX FALLS
Green Bancorp Inc.,,9,1,11%,,,HOUSTON
Green Brick Partners Inc.,,7,2,29%,,,PLANO
GREEN DOT CORP,,9,1,11%,Financial Services,California,PASADENA
Green Plains Inc.,,10,0,0%,Basic Materials,Nebraska,OMAHA
GREENBRIER COMPANIES INC,,8,2,25%,Industrials,Oregon,LAKE OSWEGO
GREENE COUNTY BANCORP INC,,8,1,13%,,,CATSKILL
GREENHILL & CO INC,,6,1,17%,Financial Services,New York,NEW YORK
GREENLIGHT CAPITAL RE LTD.,,7,0,0%,,,GRAND CAYMAN
GREIF INC,,10,2,20%,Consumer Cyclical,Ohio,DELAWARE
GRIFFIN INDUSTRIAL REALTY INC.,,7,0,0%,,,NEW YORK CITY
GRIFFON CORP,,12,0,0%,Basic Materials,New York,NEW YORK
GROUP 1 AUTOMOTIVE INC,,9,2,22%,Consumer Cyclical,Texas,HOUSTON
Groupon Inc.,,10,1,10%,Technology,Illinois,CHICAGO
GrubHub Inc.,,9,2,22%,,,CHICAGO
GSE Systems Inc.,,7,1,14%,Technology,Maryland,Sykesville
GSI TECHNOLOGY INC,,7,0,0%,,,SUNNYVALE
GTT Communications Inc.,,8,1,13%,,,MCLEAN
Guaranty Bancorp,,9,2,22%,,,DENVER
GUARANTY BANCSHARES INC /TX/,,12,0,0%,,,MOUNT PLEASANT
GUESS INC,,8,1,13%,Consumer Cyclical,California,LOS ANGELES
Guidance Software Inc.,,7,0,0%,,,PASADENA
Guidewire Software Inc.,,7,0,0%,,,FOSTER CITY
GULF ISLAND FABRICATION INC,,9,0,0%,,,HOUSTON
GULFPORT ENERGY CORP,,6,0,0%,,,OKLAHOMA CITY
H&E Equipment Services Inc.,,8,0,0%,Industrials,Louisiana,BATON ROUGE
H&R BLOCK INC,,11,3,27%,Consumer Cyclical,Missouri,KANSAS CITY
Habit Restaurants Inc.,,7,0,0%,,,IRVINE
HACKETT GROUP INC.,,6,0,0%,Industrials,Florida,MIAMI
HAEMONETICS CORP,,8,2,25%,Healthcare,Massachusetts,BRAINTREE
HALCON RESOURCES CORP,,9,0,0%,,,HOUSTON
HALF ROBERT INTERNATIONAL INC /DE/,,6,1,17%,Industrials,California,MENLO PARK
HALLIBURTON CO,,13,2,15%,Energy,Texas,HOUSTON
HALLMARK FINANCIAL SERVICES INC,,4,0,0%,,,FORT WORTH
HALOZYME THERAPEUTICS INC,,8,2,25%,Healthcare,California,SAN DIEGO
Halyard Health Inc.,,9,3,33%,,,ALPHARETTA
Hampton Roads Bankshares Inc.,,10,0,0%,Financial Services,Virginia,Virginia Beach
HANCOCK HOLDING CO,,15,3,20%,,,GULFPORT
HANDY & HARMAN LTD.,,7,0,0%,,,NEW YORK
Hanesbrands Inc.,,10,2,20%,Consumer Cyclical,North Carolina,WINSTON-SALEM
HANMI FINANCIAL CORP,,8,1,13%,,,LOS ANGELES
Hannon Armstrong Sustainable Infrastructure Capital Inc.,,7,2,29%,,,ANNAPOLIS
HANOVER INSURANCE GROUP INC.,,10,3,30%,Financial Services,Massachusetts,WORCESTER
HARDINGE INC,,8,0,0%,,,ELMIRA
HARLEY DAVIDSON INC,,10,2,20%,Consumer Cyclical,Wisconsin,MILWAUKEE
Harleysville Savings Financial Corporation,,8,1,13%,Financial Services,Pennsylvania,Harleysville
Harman International Industries Inc.,,11,3,27%,Technology,Connecticut,Stamford
HARMONIC INC,,7,2,29%,Technology,California,SAN JOSE
HARRIS CORP /DE/,,12,1,8%,Technology,Florida,MELBOURNE
HARSCO CORP,,8,2,25%,Basic Materials,Pennsylvania,CAMP HILL
HARTFORD FINANCIAL SERVICES GROUP INC/DE,,11,4,36%,Financial Services,Connecticut,HARTFORD
HASBRO INC,,12,5,42%,Consumer Cyclical,Rhode Island,PAWTUCKET
HAVERTY FURNITURE COMPANIES INC,,9,3,33%,Consumer Cyclical,Georgia,ATLANTA
Hawaiian Electric Industries Inc.,,9,2,22%,Utilities,Hawaii,HONOLULU
HAWAIIAN HOLDINGS INC,,10,1,10%,Industrials,Hawaii,HONOLULU
Hawaiian Telcom Holdco Inc.,,9,1,11%,,,HONOLULU
HAWKINS INC,,9,1,11%,,,ROSEVILLE
HAYNES INTERNATIONAL INC,,6,0,0%,,,KOKOMO
HC2 Holdings Inc.,,5,0,0%,Communication Services,Virginia,NEW YORK
HCA Healthcare Inc.,,11,2,18%,Healthcare,Tennessee,NASHVILLE
HCI Group Inc.,,9,0,0%,Financial Services,Florida,TAMPA
HCP INC.,,8,1,13%,Real Estate,California,IRVINE
HD Supply Holdings Inc.,,9,3,33%,Industrials,Georgia,ATLANTA
HEALTHCARE REALTY TRUST INC,,9,2,22%,,,NASHVILLE
HEALTHCARE SERVICES GROUP INC,,9,1,11%,,,BENSALEM
HEALTHCARE TRUST OF AMERICA INC.,,8,0,0%,,,SCOTTSDALE
HEALTHEQUITY INC,,8,1,13%,,,DRAPER
HEALTHSOUTH CORP,,10,3,30%,Healthcare,Alabama,BIRMINGHAM
HEALTHSTREAM INC,,10,2,20%,,,NASHVILLE
Healthways Inc.,,10,1,10%,Healthcare,Tennessee,Franklin
HEARTLAND EXPRESS INC,,6,2,33%,,,NORTH LIBERTY
HEARTLAND FINANCIAL USA INC,,9,0,0%,,,DUBUQUE
HECLA MINING CO/DE/,,8,1,13%,,,COEUR D'ALENE
HEICO CORP,,10,1,10%,Industrials,Florida,HOLLYWOOD
HEIDRICK & STRUGGLES INTERNATIONAL INC,,7,2,29%,Industrials,Illinois,CHICAGO
HELEN OF TROY LTD,,8,2,25%,,,EL PASO
HELIX ENERGY SOLUTIONS GROUP INC,,7,1,14%,,,HOUSTON
HELMERICH & PAYNE INC,,8,1,13%,Energy,Oklahoma,TULSA
HEMISPHERE MEDIA GROUP INC.,,11,1,9%,,,CORAL GABLES
HENRY JACK & ASSOCIATES INC,,8,3,38%,Industrials,Missouri,MONETT
HENRY SCHEIN INC,,15,2,13%,Healthcare,New York,MELVILLE
HERBALIFE LTD.,,13,1,8%,Consumer Defensive,California,GRAND CAYMAN
HERC HOLDINGS INC,,9,1,11%,,,BONITA SPRINGS
Hercules Technology Growth Capital Inc.,,6,1,17%,Financial Services,California,Palo Alto
HERITAGE COMMERCE CORP,,9,2,22%,,,SAN JOSE
HERITAGE FINANCIAL CORP /WA/,,9,3,33%,,,OLYMPIA
Heritage Insurance Holdings Inc.,,9,1,11%,,,CLEARWATER
Heritage-Crystal Clean Inc.,,6,0,0%,,,ELGIN
HERON THERAPEUTICS INC. /DE/,,6,0,0%,,,SAN DIEGO
HERSHA HOSPITALITY TRUST,,8,1,13%,,,PHILADELPHIA
HERSHEY CO,,12,4,33%,Consumer Defensive,Pennsylvania,HERSHEY
HERTZ GLOBAL HOLDINGS INC,,7,2,29%,Industrials,Florida,ESTERO
HESKA CORP,,6,3,50%,,,LOVELAND
HESS CORP,,12,2,17%,Energy,New York,NEW YORK
Hewlett Packard Enterprise Co,,14,5,36%,Technology,California,PALO ALTO
HEXCEL CORP /DE/,,10,2,20%,,,STAMFORD
HFF Inc.,,8,3,38%,,,DALLAS
hhgregg Inc.,,10,2,20%,Consumer Cyclical,Indiana,Indianapolis
HIBBETT SPORTS INC,,8,2,25%,,,BIRMINGHAM
HIGHWOODS PROPERTIES INC,,7,1,14%,,,RALEIGH
Hill International Inc.,,9,1,11%,,,PHILADELPHIA
Hill-Rom Holdings Inc.,,10,3,30%,Healthcare,Illinois,CHICAGO
Hillenbrand Inc.,,11,2,18%,,,BATESVILLE
Hilltop Holdings Inc.,,21,1,5%,,,DALLAS
HILTON GRAND VACATIONS INC.,,8,2,25%,,Florida,ORLANDO
Hilton Worldwide Holdings Inc.,,9,3,33%,Consumer Cyclical,Virginia,MCLEAN
Hingham Institution for Savings,,16,3,19%,Financial Services,Massachusetts,HINGHAM
HMN Financial Inc.,,11,2,18%,Financial Services,Minnesota,Rochester
HMS HOLDINGS CORP,,9,2,22%,,,IRVING
HNI CORP,,10,4,40%,Industrials,Iowa,MUSCATINE
HollyFrontier Corp,,9,0,0%,Energy,Texas,DALLAS
Hollywood Media Corporation,,5,1,20%,Consumer Cyclical,Florida,Boca Raton
HOLOGIC INC,,8,4,50%,Healthcare,Massachusetts,MARLBOROUGH
HOME BANCORP INC.,,9,1,11%,,,LAFAYETTE
HOME BANCSHARES INC,,13,0,0%,,,CONWAY
HOME DEPOT INC,,13,3,23%,Consumer Cyclical,Georgia,ATLANTA
HomeFed Corporation,,6,0,0%,Real Estate,California,Carlsbad
HomeStreet Inc.,,9,0,0%,,,SEATTLE
HomeTrust Bancshares Inc.,,11,2,18%,,,ASHEVILLE
HONEYWELL INTERNATIONAL INC,,13,3,23%,Industrials,New Jersey,MORRIS PLAINS
HOOKER FURNITURE CORP,,7,1,14%,Consumer Cyclical,Virginia,MARTINSVILLE
HOPE BANCORP INC,,13,1,8%,,,LOS ANGELES
HORACE MANN EDUCATORS CORP /DE/,,9,2,22%,,,SPRINGFIELD
HORIZON BANCORP /IN/,,12,2,17%,,,MICHIGAN CITY
Horizon Global Corp,,7,1,14%,,,TROY
Horizon Pharma plc,,7,0,0%,Healthcare,,DUBLIN
HORMEL FOODS CORP /DE/,,14,3,21%,Consumer Defensive,Minnesota,AUSTIN
HORTON D R INC /DE/,,5,1,20%,Consumer Cyclical,Texas,FORT WORTH
Hortonworks Inc.,,7,0,0%,,,SANTA CLARA
HOSPITALITY PROPERTIES TRUST,,5,1,20%,Real Estate,Massachusetts,NEWTON
HOST HOTELS & RESORTS INC.,,9,3,33%,Real Estate,Maryland,BETHESDA
Houghton Mifflin Harcourt Co,,9,2,22%,,,BOSTON
HOULIHAN LOKEY INC.,,11,1,9%,,,LOS ANGELES
HOVNANIAN ENTERPRISES INC,,7,0,0%,Consumer Cyclical,New Jersey,RED BANK
Howard Hughes Corp,,9,1,11%,Real Estate,Texas,DALLAS
HP INC,,12,5,42%,Technology,California,PALO ALTO
HRG GROUP INC.,,8,0,0%,Industrials,New York,NEW YORK
HSN Inc.,,10,5,50%,Consumer Cyclical,Florida,ST. PETERSBURG
HUB GROUP INC,,8,0,0%,Industrials,Illinois,OAK BROOK
HUBBELL INC,,9,1,11%,Industrials,Connecticut,SHELTON
HUBSPOT INC,,9,2,22%,,,CAMBRIDGE
Hudson Pacific Properties Inc.,,10,0,0%,Real Estate,California,LOS ANGELES
HUMANA INC,,10,1,10%,Healthcare,Kentucky,LOUISVILLE
HUNT J B TRANSPORT SERVICES INC,,10,2,20%,Industrials,Arizona,LOWELL
HUNTINGTON BANCSHARES INC/MD,,15,4,27%,Financial Services,Ohio,COLUMBUS
HUNTINGTON INGALLS INDUSTRIES INC.,,10,2,20%,Industrials,Virginia,NEWPORT NEWS
Huntsman CORP,,8,1,13%,Basic Materials,Utah,THE WOODLANDS
HURCO COMPANIES INC,,9,1,11%,,,INDIANAPOLIS
Huron Consulting Group Inc.,,7,1,14%,,,CHICAGO
HUTTIG BUILDING PRODUCTS INC,,7,1,14%,,,ST. LOUIS
Hyatt Hotels Corp,,12,2,17%,Consumer Cyclical,Illinois,CHICAGO
HYSTER-YALE MATERIALS HANDLING INC.,,10,1,10%,Industrials,Ohio,CLEVELAND
IAC/INTERACTIVECORP,,12,2,17%,Technology,New York,NEW YORK CITY
Iasis Healthcare LLC,,10,0,0%,Healthcare,Tennessee,Franklin
IBERIABANK CORP,,11,1,9%,,,LAFAYETTE
Icahn Enterprises LP,,6,0,0%,Industrials,New York,New York
ICF International Inc.,,7,2,29%,Industrials,Virginia,FAIRFAX
ICONIX BRAND GROUP INC.,,9,2,22%,,,NEW YORK
ICU MEDICAL INC/DE,,8,1,13%,Healthcare,California,SAN CLEMENTE
IDACORP INC,,11,3,27%,,,BOISE
IDERA PHARMACEUTICALS INC.,,8,1,13%,,,CAMBRIDGE
IDEX CORP /DE/,,8,2,25%,Industrials,Illinois,LAKE FOREST
IDEXX LABORATORIES INC /DE,,8,3,38%,Healthcare,Maine,WESTBROOK
IDI Inc.,,8,1,13%,Technology,Florida,Boca Raton
IDT CORP,,5,0,0%,Communication Services,New Jersey,NEWARK
IES Holdings Inc.,,6,0,0%,,,HOUSTON
Ignyta Inc.,,6,0,0%,,,SAN DIEGO
iHeartMedia Inc.,,12,1,8%,Consumer Cyclical,Texas,San Antonio
IHS Markit Ltd.,,11,2,18%,Industrials,,LONDON
II-VI INC,,9,1,11%,,,SAXONBURG
ILG Inc.,,13,2,15%,,,MIAMI
ILLINOIS TOOL WORKS INC,,11,2,18%,Industrials,Illinois,GLENVIEW
ILLUMINA INC,,8,3,38%,Healthcare,California,SAN DIEGO
Imation Corporation,,7,1,14%,Technology,Minnesota,Oakdale
IMAX CORP,,11,1,9%,Consumer Cyclical,Ontario,MISSISSAUGA
IMMERSION CORP,,7,1,14%,Technology,California,SAN JOSE
Immune Design Corp.,,8,1,13%,,,SEATTLE
IMMUNOGEN INC,,9,1,11%,,,WALTHAM
IMMUNOMEDICS INC,,5,2,40%,,,MORRIS PLAINS
IMPAC MORTGAGE HOLDINGS INC,,7,0,0%,Financial Services,California,IRVINE
IMPAX LABORATORIES INC,,9,2,22%,Healthcare,California,HAYWARD
IMPERVA INC,,8,1,13%,Technology,California,REDWOOD SHORES
IMS Health Holdings Inc.,,8,1,13%,Technology,Connecticut,Danbury
INC Research Holdings Inc.,,10,1,10%,,,RALEIGH
INCYTE CORP,,7,1,14%,,,WILMINGTON
Independence Contract Drilling Inc.,,6,0,0%,,,HOUSTON
INDEPENDENCE HOLDING CO,,9,1,11%,,,STAMFORD
INDEPENDENCE REALTY TRUST INC,,6,0,0%,,,PHILADELPHIA
INDEPENDENT BANK CORP,,15,3,20%,Financial Services,Massachusetts,ROCKLAND
INDEPENDENT BANK CORP /MI/,,10,2,20%,,,GRAND RAPIDS
Independent Bank Group Inc.,,12,0,0%,,,MCKINNEY
India Globalization Capital Inc.,,3,0,0%,Basic Materials,Maryland,Bethesda
INFINERA Corp,,8,0,0%,Technology,California,SUNNYVALE
INFINITY PROPERTY & CASUALTY CORP,,9,2,22%,,,BIRMINGHAM
Infoblox Inc.,,7,1,14%,Technology,California,Santa Clara
Information Services Group Inc.,,6,2,33%,,,STAMFORD
InfraREIT Inc.,,9,3,33%,,,DALLAS
Ingersoll-Rand plc,,10,2,20%,Industrials,,SWORDS
Ingevity Corp,,7,1,14%,,,NORTH CHARLESTON
INGLES MARKETS INC,,8,2,25%,Consumer Defensive,North Carolina,BLACK MOUNTAIN
Ingram Micro Inc.,,10,3,30%,Technology,California,Irvine
Ingredion Inc,,10,4,40%,Consumer Defensive,Illinois,WESTCHESTER
INNERWORKINGS INC,,7,2,29%,,,CHICAGO
Innophos Holdings Inc.,,8,3,38%,,,CRANBURY
INNOSPEC INC.,,7,0,0%,,,ENGLEWOOD
Innoviva Inc.,,7,2,29%,Healthcare,California,BRISBANE
Inogen Inc,,8,1,13%,,,GOLETA
Inovalon Holdings Inc.,,6,1,17%,,,BOWIE
INOVIO PHARMACEUTICALS INC.,,8,0,0%,,,PLYMOUTH MEETING
INPHI Corp,,9,1,11%,Technology,California,SANTA CLARA
INSIGHT ENTERPRISES INC,,9,2,22%,Technology,Arizona,TEMPE
INSMED Inc,,8,1,13%,Healthcare,New Jersey,BRIDGEWATER
INSPERITY INC.,,9,2,22%,Industrials,Texas,KINGWOOD
Installed Building Products Inc.,,9,2,22%,,,COLUMBUS
INSTEEL INDUSTRIES INC,,5,0,0%,,,MOUNT AIRY
INSTRUCTURE INC,,7,1,14%,,,SALT LAKE CITY
INSULET CORP,,8,3,38%,Healthcare,Massachusetts,BILLERICA
Insys Therapeutics Inc.,,7,0,0%,,,CHANDLER
Integer Holdings Corp,,9,2,22%,,,FRISCO
INTEGRA LIFESCIENCES HOLDINGS CORP,,9,1,11%,,,PLAINSBORO
INTEGRATED DEVICE TECHNOLOGY INC,,7,0,0%,Technology,California,SAN JOSE
Intel Corporation,,12,2,17%,Technology,California,SANTA CLARA
Intellia Therapeutics Inc.,,6,1,17%,,,CAMBRIDGE
INTELSAT S.A.,,7,0,0%,,,LUXEMBOURG
INTER PARFUMS INC,,9,0,0%,,,NEW YORK
Interactive Brokers Group Inc.,,8,0,0%,Financial Services,Connecticut,GREENWICH
INTERCEPT PHARMACEUTICALS INC,,9,0,0%,,,NEW YORK
Intercontinental Exchange Inc.,,11,3,27%,Financial Services,Georgia,ATLANTA
InterDigital Inc.,,9,2,22%,,,WILMINGTON
INTERFACE INC,,10,2,20%,,,ATLANTA
Intermolecular Inc.,,7,0,0%,Technology,California,San Jose
Internap Corp,,7,2,29%,,,ATLANTA
INTERNATIONAL BANCSHARES CORP,,9,1,11%,,,LAREDO
INTERNATIONAL BUSINESS MACHINES CORP,,13,3,23%,Technology,New York,ARMONK
INTERNATIONAL FLAVORS & FRAGRANCES INC,,11,3,27%,Basic Materials,New York,NEW YORK
INTERNATIONAL PAPER CO /NEW/,,12,2,17%,Basic Materials,Tennessee,MEMPHIS
INTERNATIONAL SEAWAYS INC.,,8,1,13%,,,NEW YORK
INTERNATIONAL SPEEDWAY CORP,,11,3,27%,Consumer Cyclical,Florida,DAYTONA BEACH
INTERPUBLIC GROUP OF COMPANIES INC.,,10,3,30%,Consumer Cyclical,New York,NEW YORK
Intersect ENT Inc.,,7,2,29%,,,MENLO PARK
Intersections Inc.,,8,0,0%,Industrials,Virginia,Chantilly
Intersil Corporation,,7,1,14%,Technology,California,Milpitas
Intertape Polymer Group,,9,1,11%,Consumer Cyclical,Florida,Sarasota
Interval Leisure Group,,13,2,15%,Consumer Cyclical,Florida,Miami
INTEVAC INC,,6,0,0%,,,SANTA CLARA
INTL FCSTONE INC.,,9,0,0%,Financial Services,New York,NEW YORK
Intra-Cellular Therapies Inc.,,6,1,17%,,,NEW YORK
Intrawest Resorts Holdings Inc.,,7,0,0%,,,DENVER
Intrepid Potash Inc.,,6,0,0%,Basic Materials,Colorado,DENVER
INTREXON CORP,,9,1,11%,Healthcare,Maryland,GERMANTOWN
INTUIT INC,,9,3,33%,Technology,California,MOUNTAIN VIEW
INTUITIVE SURGICAL INC,,9,2,22%,Healthcare,California,SUNNYVALE
INVACARE CORP,,7,1,14%,Healthcare,Ohio,ELYRIA
InvenSense Inc.,,8,1,13%,Technology,California,San Jose
Invesco Ltd.,,9,2,22%,Financial Services,Georgia,ATLANTA
Invesco Mortgage Capital Inc.,,8,2,25%,,,ATLANTA
INVESTMENT TECHNOLOGY GROUP INC,,8,0,0%,,,NEW YORK
Investors Bancorp Inc.,,12,2,17%,,,SHORT HILLS
INVESTORS REAL ESTATE TRUST,,9,1,11%,,,MINOT
INVESTORS TITLE CO,,9,0,0%,,,CHAPEL HILL
Invitae Corp,,5,1,20%,,,SAN FRANCISCO
Invitation Homes Inc.,,11,1,9%,,,DALLAS
IONIS PHARMACEUTICALS INC,,8,1,13%,Healthcare,California,CARLSBAD
IOVANCE BIOTHERAPEUTICS INC.,,7,1,14%,,,NEW YORK
IPG PHOTONICS CORP,,10,1,10%,Technology,Massachusetts,OXFORD
Iridium Communications Inc.,,12,1,8%,Communication Services,Virginia,MCLEAN
IROBOT CORP,,8,3,38%,Technology,Massachusetts,BEDFORD
IRON MOUNTAIN INC,,12,3,25%,Industrials,Massachusetts,BOSTON
IRONWOOD PHARMACEUTICALS INC,,9,3,33%,Healthcare,Massachusetts,CAMBRIDGE
ISRAMCO INC,,6,0,0%,,,HOUSTON
ISTAR INC.,,6,2,33%,,,NEW YORK
ITC Holdings Corp.,,9,1,11%,Utilities,Michigan,Novi
ITERIS INC.,,6,0,0%,,,SANTA ANA
ITRON INC /WA/,,11,3,27%,Technology,Washington,LIBERTY LAKE
ITT Educational Services Inc.,,8,1,13%,Consumer Defensive,Indiana,Carmel
ITT Inc.,,10,3,30%,Industrials,New York,WHITE PLAINS
Ixia,,6,2,33%,Technology,California,Calabasas
IXYS CORP /DE/,,8,0,0%,Technology,California,MILPITAS
J C PENNEY CO INC,,11,3,27%,Consumer Cyclical,Texas,PLANO
J M SMUCKER Co,,13,5,38%,Consumer Defensive,Ohio,ORRVILLE
J&J SNACK FOODS CORP,,5,0,0%,,,PENNSAUKEN
J. Alexander's Holdings Inc.,,6,0,0%,,,NASHVILLE
J. Crew Group Inc.,,6,1,17%,Consumer Cyclical,New York,New York
J.Jill Inc.,,8,3,38%,,,QUINCY
J2 GLOBAL INC.,,6,0,0%,Technology,California,LOS ANGELES
JABIL INC,,9,2,22%,Technology,Florida,ST. PETERSBURG
JACK IN THE BOX INC /NEW/,,8,2,25%,Consumer Cyclical,California,SAN DIEGO
JACOBS ENGINEERING GROUP INC /DE/,,9,2,22%,Industrials,California,DALLAS
Jagged Peak Energy Inc.,,9,0,0%,,,DENVER
JAKKS Pacific Inc.,,5,0,0%,Consumer Cyclical,California,Santa Monica
Jamba Inc.,,7,1,14%,Consumer Cyclical,California,Emeryville
James River Group Holdings Ltd.,,8,1,13%,,,PEMBROKE
Janus Capital Group Inc.,,10,2,20%,Financial Services,Colorado,Denver
Jefferies Group LLC,,7,1,14%,Financial Services,New York,New York
JELD-WEN Holding Inc.,,10,1,10%,,,CHARLOTTE
JETBLUE AIRWAYS CORP,,10,2,20%,Industrials,New York,LONG ISLAND CITY
Jive Software Inc.,,9,3,33%,Technology,California,Palo Alto
John Bean Technologies Corporation,,7,2,29%,,,CHICAGO
John Wiley and Sons Inc.,,13,3,23%,Consumer Cyclical,New Jersey,Hoboken
Johnson & Johnson,,10,2,20%,Healthcare,New Jersey,NEW BRUNSWICK
Johnson Controls International plc,,11,1,9%,Consumer Cyclical,Wisconsin,CORK
JOHNSON OUTDOORS INC,,8,2,25%,,,RACINE
Jones Energy Inc.,,7,0,0%,,,AUSTIN
JONES LANG LASALLE INC,,10,4,40%,Real Estate,Illinois,CHICAGO
Jounce Therapeutics Inc.,,7,1,14%,,,CAMBRIDGE
Joy Global Inc.,,9,0,0%,Industrials,Wisconsin,Milwaukee
JPMORGAN CHASE & CO,,12,2,17%,Financial Services,New York,NEW YORK
JUNIPER NETWORKS INC,,9,1,11%,Technology,California,SUNNYVALE
Juno Therapeutics Inc.,,9,1,11%,,,SEATTLE
K12 INC,,9,1,11%,Consumer Defensive,Virginia,HERNDON
K2M GROUP HOLDINGS INC.,,8,0,0%,,,LEESBURG
KADANT INC,,5,0,0%,Industrials,Massachusetts,WESTFORD
KAISER ALUMINUM CORP,,10,3,30%,Basic Materials,California,FOOTHILL RANCH
KAMAN CORP,,10,2,20%,,,BLOOMFIELD
KANSAS CITY SOUTHERN,,8,1,13%,Industrials,Missouri,KANSAS CITY
KAPSTONE PAPER & PACKAGING CORP,,12,1,8%,Basic Materials,Illinois,NORTHBROOK
KAR Auction Services Inc.,,9,2,22%,Consumer Cyclical,Indiana,CARMEL
Karyopharm Therapeutics Inc.,,8,1,13%,,,NEWTON
Kate Spade & Co,,11,4,36%,Consumer Cyclical,New York,NEW YORK
KB HOME,,9,1,11%,Consumer Cyclical,California,LOS ANGELES
KBR INC.,,10,2,20%,Industrials,Texas,HOUSTON
KCG Holdings Inc.,,11,3,27%,,,NEW YORK
Keane Group Inc.,,11,1,9%,,,HOUSTON
KEARNY FINANCIAL CORP.,,11,0,0%,,,FAIRFIELD
KELLOGG CO,,12,5,42%,Consumer Defensive,Michigan,BATTLE CREEK
KELLY SERVICES INC,,9,3,33%,Industrials,Michigan,TROY
KEMET CORP,,9,1,11%,,,SIMPSONVILLE
KEMPER Corp,,9,1,11%,Financial Services,Illinois,CHICAGO
KENNAMETAL INC,,9,1,11%,Industrials,Pennsylvania,PITTSBURGH
Kennedy-Wilson Holdings Inc.,,7,1,14%,Real Estate,California,BEVERLY HILLS
KERYX BIOPHARMACEUTICALS INC,,8,1,13%,,,BOSTON
Key Energy Services Inc.,,10,1,10%,Energy,Texas,Houston
KEYCORP /NEW/,,16,5,31%,Financial Services,Ohio,CLEVELAND
Keynetics Inc.,,5,1,20%,Technology,Idaho,Boise
Keysight Technologies Inc.,,8,1,13%,Technology,California,SANTA ROSA
KEYW HOLDING CORP,,9,2,22%,,,HANOVER
KFORCE INC,,11,2,18%,Industrials,Florida,TAMPA
KILROY REALTY CORP,,6,1,17%,Real Estate,California,LOS ANGELES
Kimball Electronics Inc.,,7,2,29%,,,JASPER
KIMBALL INTERNATIONAL INC,,8,3,38%,,,JASPER
KIMBERLY CLARK CORP,,13,3,23%,Consumer Defensive,Texas,DALLAS
KIMCO REALTY CORP,,9,2,22%,Real Estate,New York,NEW HYDE PARK
KINDER MORGAN INC.,,16,2,13%,Energy,Texas,HOUSTON
KINDRED HEALTHCARE INC,,11,3,27%,Healthcare,Kentucky,LOUISVILLE
KIRBY CORP,,9,1,11%,Industrials,Texas,HOUSTON
KIRKLAND'S INC,,7,1,14%,,,BRENTWOOD
Kite Pharma Inc.,,11,1,9%,,,SANTA MONICA
KITE REALTY GROUP TRUST,,9,1,11%,,,INDIANAPOLIS
KKR & Co. LP,,8,1,13%,Financial Services,New York,New York
KKR Real Estate Finance Trust Inc.,,6,1,17%,,,NEW YORK
KLA TENCOR CORP,,10,1,10%,Technology,California,MILPITAS
KLONDEX MINES LTD,,8,0,0%,,,RENO
KLX Inc.,,8,0,0%,,,WELLINGTON
KMG CHEMICALS INC,,7,1,14%,,,FORT WORTH
KNIGHT TRANSPORTATION INC,,10,2,20%,,,PHOENIX
Knights of Columbus,,6,0,0%,Financial Services,Connecticut,New Haven
KNOLL INC,,10,3,30%,Industrials,Pennsylvania,EAST GREENVILLE
Knowles Corp,,8,0,0%,,,ITASCA
KOHLS Corp,,10,3,30%,Consumer Cyclical,Wisconsin,MENOMONEE FALLS
KOPIN CORP,,7,0,0%,Technology,Massachusetts,WESTBOROUGH
Koppers Holdings Inc.,,8,2,25%,,,PITTSBURGH
KORN FERRY INTERNATIONAL,,7,2,29%,Industrials,California,LOS ANGELES
Kosmos Energy Ltd.,,11,0,0%,Energy,,HAMILTON
Kraft Heinz Co,,11,2,18%,Consumer Defensive,Pennsylvania,PITTSBURGH
Kraton Corp,,8,2,25%,,,HOUSTON
KRATOS DEFENSE & SECURITY SOLUTIONS INC.,,8,2,25%,Industrials,California,SAN DIEGO
KROGER CO,,11,3,27%,Consumer Defensive,Ohio,CINCINNATI
KRONOS WORLDWIDE INC,,8,1,13%,Basic Materials,Texas,DALLAS
KVH INDUSTRIES INC \DE\,,6,0,0%,,,MIDDLETOWN
L Brands Inc.,,12,3,25%,Consumer Cyclical,Ohio,COLUMBUS
L'Oreal Group,,15,7,47%,Consumer Defensive,,Clichy Cedex
L3 TECHNOLOGIES INC,,10,1,10%,Industrials,New York,NEW YORK
LA JOLLA PHARMACEUTICAL CO,,5,1,20%,,,SAN DIEGO
La Quinta Holdings Inc.,,10,0,0%,,,IRVING
