ORBCOMM Inc.,,7,0,0%,,,ROCHELLE PARK
ORBITAL ATK INC.,,13,2,15%,Industrials,Virginia,DULLES
Orchid Island Capital Inc.,,6,1,17%,,,VERO BEACH
Orchids Paper Products CO /DE,,7,1,14%,,,PRYOR
Orexigen Therapeutics Inc.,,8,2,25%,Healthcare,California,La Jolla
ORGANOVO HOLDINGS INC.,,8,1,13%,Healthcare,California,SAN DIEGO
Orion Group Holdings Inc,,6,0,0%,,,HOUSTON
Oritani Financial Corp,,7,0,0%,,,TOWNSHIP OF WASHINGTON
ORMAT TECHNOLOGIES INC.,,8,0,0%,,,RENO
ORRSTOWN FINANCIAL SERVICES INC,,12,2,17%,Financial Services,Pennsylvania,SHIPPENSBURG
ORTHOFIX INTERNATIONAL N V,,8,2,25%,,,LEWISVILLE
OSHKOSH CORP,,11,2,18%,Industrials,Wisconsin,OSHKOSH
OSI SYSTEMS INC,,7,0,0%,Technology,California,HAWTHORNE
Osiris Therapeutics Inc.,,4,0,0%,Healthcare,Maryland,Columbia
Otonomy Inc.,,7,2,29%,,,SAN DIEGO
Otter Tail Corp,,9,3,33%,Utilities,Minnesota,FERGUS FALLS
OUTFRONT Media Inc.,,7,2,29%,,,NEW YORK
OVERSEAS SHIPHOLDING GROUP INC,,8,1,13%,,,TAMPA
OVERSTOCK.COM INC,,7,1,14%,,,MIDVALE
Ovid Therapeutics Inc.,,5,1,20%,,,NEW YORK
OWENS & MINOR INC/VA/,,11,3,27%,Healthcare,Virginia,MECHANICSVILLE
Owens Corning,,11,2,18%,Basic Materials,Ohio,TOLEDO
OWENS ILLINOIS INC /DE/,,12,2,17%,Consumer Cyclical,Ohio,PERRYSBURG
Owens Realty Mortgage Inc.,,5,0,0%,,,WALNUT CREEK
Oxford Immunotec Global PLC,,9,1,11%,,,ABINGDON
OXFORD INDUSTRIES INC,,9,2,22%,,,ATLANTA
PACCAR INC,,11,2,18%,Industrials,Washington,BELLEVUE
PACIFIC BIOSCIENCES OF CALIFORNIA INC.,,8,2,25%,,,MENLO PARK
PACIFIC CONTINENTAL CORP,,13,2,15%,,,EUGENE
Pacific Ethanol Inc.,,7,0,0%,,,SACRAMENTO
Pacific Life Insurance Company,,15,3,20%,Financial Services,California,Newport Beach
PACIFIC MERCANTILE BANCORP,,10,0,0%,,,COSTA MESA
PACIFIC PREMIER BANCORP INC,,10,2,20%,,,IRVINE
Pacira Pharmaceuticals Inc.,,9,2,22%,,,PARSIPPANY
PACKAGING CORP OF AMERICA,,11,1,9%,Consumer Cyclical,Illinois,LAKE FOREST
PACWEST BANCORP,,11,2,18%,,,BEVERLY HILLS
Palo Alto Networks Inc,,10,1,10%,Technology,California,SANTA CLARA
Pandora Media Inc.,,5,2,40%,Consumer Cyclical,California,OAKLAND
PANERA BREAD CO,,9,1,11%,Consumer Cyclical,Missouri,ST. LOUIS
PANHANDLE OIL & GAS INC,,7,1,14%,,,OKLAHOMA CITY
Pantheon Enterprises Inc.,,7,2,29%,Basic Materials,Arizona,Phoenix
PAPA JOHNS INTERNATIONAL INC,,7,3,43%,,,LOUISVILLE
PAR PACIFIC HOLDINGS INC.,,9,0,0%,Energy,Texas,HOUSTON
Paramount Group Inc.,,9,3,33%,,,NEW YORK
Paratek Pharmaceuticals Inc.,,8,1,13%,,,BOSTON
PAREXEL INTERNATIONAL CORP,,8,2,25%,Healthcare,Massachusetts,WALTHAM
PARK CITY GROUP INC,,6,0,0%,,,SALT LAKE CITY
PARK ELECTROCHEMICAL CORP,,5,1,20%,,,MELVILLE
Park Hotels & Resorts Inc.,,9,2,22%,,Virginia,MCLEAN
PARK NATIONAL CORP /OH/,,12,3,25%,,Ohio,NEWARK
PARK OHIO HOLDINGS CORP,,8,1,13%,,,CLEVELAND
Park Sterling Corp,,12,2,17%,,,CHARLOTTE
PARKE BANCORP INC.,,9,0,0%,Financial Services,New Jersey,WASHINGTON TOWNSHIP
PARKER DRILLING CO /DE/,,9,0,0%,,,HOUSTON
PARKER HANNIFIN CORP,,13,2,15%,Industrials,Ohio,CLEVELAND
Parkway Inc.,,7,0,0%,,,HOUSTON
Parsley Energy Inc.,,7,0,0%,,,AUSTIN
Parsons Corporation,,9,3,33%,Industrials,California,Pasadena
Party City Holdco Inc.,,11,1,9%,Consumer Cyclical,New York,ROCKAWAY
PATRICK INDUSTRIES INC,,8,0,0%,,,ELKHART
Patriot Transportation Holding Inc.,,5,0,0%,Industrials,Florida,Jacksonville
Pattern Energy Group Inc.,,7,2,29%,,,SAN FRANCISCO
PATTERSON COMPANIES INC.,,8,3,38%,Healthcare,Minnesota,ST. PAUL
PATTERSON UTI ENERGY INC,,7,1,14%,Energy,Texas,HOUSTON
PAYCHEX INC,,9,1,11%,Industrials,New York,ROCHESTER
Paycom Software Inc.,,7,0,0%,,,OKLAHOMA CITY
Paylocity Holding Corp,,6,0,0%,,,ARLINGTON HEIGHTS
PayPal Holdings Inc.,,9,2,22%,Financial Services,California,SAN JOSE
PBF Energy Inc.,,8,0,0%,Energy,New Jersey,PARSIPPANY
PC CONNECTION INC,,6,2,33%,Technology,New Hampshire,MERRIMACK
PCM INC.,,4,0,0%,,,EL SEGUNDO
PCS Edventures!.com Inc.,,5,2,40%,Consumer Defensive,Idaho,Boise
PDC ENERGY INC.,,7,1,14%,,,DENVER
PDF SOLUTIONS INC,,5,0,0%,Technology,California,SAN JOSE
PDL BIOPHARMA INC.,,7,1,14%,,,INCLINE VILLAGE
pdvWireless Inc.,,8,0,0%,,,WOODLAND PARK
PEABODY ENERGY CORP,,11,2,18%,Basic Materials,Missouri,ST. LOUIS
PEAPACK GLADSTONE FINANCIAL CORP,,11,2,18%,,,BEDMINSTER
Pebblebrook Hotel Trust,,7,2,29%,Real Estate,Maryland,BETHESDA
PEGASYSTEMS INC,,9,2,22%,Technology,Massachusetts,CAMBRIDGE
Pendrell Corp,,7,0,0%,,,KIRKLAND
Penn Mutual Life Insurance,,13,5,38%,Financial Services,Pennsylvania,Horsham
PENN NATIONAL GAMING INC,,7,2,29%,Consumer Cyclical,Pennsylvania,WYOMISSING
Penn Virginia Corporation,,3,0,0%,Energy,Pennsylvania,Radnor
PENNS WOODS BANCORP INC,,14,1,7%,Financial Services,Pennsylvania,WILLIAMSPORT
PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,,8,0,0%,,,PHILADELPHIA
PENNYMAC FINANCIAL SERVICES INC.,,9,1,11%,,,WESTLAKE VILLAGE
PennyMac Mortgage Investment Trust,,9,2,22%,Real Estate,California,WESTLAKE VILLAGE
PENSKE AUTOMOTIVE GROUP INC.,,13,3,23%,Consumer Cyclical,Michigan,BLOOMFIELD HILLS
PENTAIR plc,,12,2,17%,Industrials,Minnesota,LONDON
Penumbra Inc,,6,1,17%,,,ALAMEDA
People's United Financial Inc.,,11,2,18%,Financial Services,Connecticut,BRIDGEPORT
